hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2727.91, -127.203, 2760.66, -81.732, 2697.28, -190.808
2, 0.00000, 2518, 101.449, 2567.96, -172.014, 2522.24, 59.5526
3, 0.00000, 2450.01, 78.6369, 2505.21, -201.471, 2464.76, 35.7208
4, 0.00000, 2346.37, 34.6169, 2417.24, 102.316, 2376.3, 2.31987
5, 0.00000, 2334.58, 29.0318, 2406.01, 96.3331, 2366.15, -1.7311
6, 0.00000, 2424.73, 72.5496, 2488.01, 140.267, 2440.64, 27.8778
7, 0.00000, 2642.27, -173.921, 2686.65, -114.089, 2630.36, 106.273
8, 0.00000, 3037.06, 18.9982, 3018.35, 87.1674, 2935.55, -128.807
9, 0.00000, 3378.95, -155.582, 3338.26, -118.418, 3241.06, 7.46028
10, 0.00000, 3596.2, -29.2318, 3527.27, 13.9487, 3405.34, 76.6494
11, 0.00000, 3875.65, 106.835, 3772.78, 174.914, 3594.69, 162.441
12, 0.00000, 4118.65, 240.998, 3970.96, 324.808, 3751.26, -129.848
13, 0.00000, 4097.49, 226.085, 3955.08, 311.309, 3737.81, -135.704
14, 0.00000, 4071.99, 208.882, 3935.23, 294.707, 3721.08, -143.312
15, 0.00000, 4123.41, 244.848, 3974.72, 328.241, 3753.92, -128.958
16, 0.00000, 4172.71, 275.523, 4011.31, 359.279, 3784.88, -115.227
17, 0.00000, 4176.56, 277.927, 4015.48, 362.742, 3788.46, -113.364
18, 0.00000, 3962.26, 135.508, 3846.17, 221.348, 3647.86, -171.675
19, 0.00000, 3852.75, 78.7734, 3758.4, 157.883, 3582.09, 158.55
20, 0.00000, 3747.8, 24.4742, 3664.52, 91.7437, 3502.8, 120.973
21, 0.00000, 3580.8, -62.5528, 3518.07, -0.84266, 3375.06, 62.2304
22, 0.00000, 3580.42, -62.953, 3518.5, -0.486493, 3374.99, 62.2472
23, 0.00000, 3364.78, -161.6, 3323.99, -116.128, 3221.18, -22.2498
24, 0.00000, 3061.73, 45.0882, 3052.68, 95.3753, 2968.46, -124.464
